,date,source,nitro_price_lb,corn_price_bu
67,2025-08-18,Anhydrous Ammonia,0.36,3.7
68,2025-09-01,Urea,0.28,3.83
69,2025-09-01,Anhydrous Ammonia,0.36,3.83
70,2025-09-01,Liquid Nitrogen 28,0.2,3.83
71,2025-09-01,Liquid Nitrogen 32,0.22,3.83
72,2025-09-15,Urea,0.28,3.94
73,2025-09-15,Anhydrous Ammonia,0.36,3.94
74,2025-09-15,Liquid Nitrogen 28,0.2,3.94
75,2025-09-15,Liquid Nitrogen 32,0.22,3.94
76,2025-09-29,Urea,0.28,3.86
77,2025-09-29,Anhydrous Ammonia,0.37,3.86
78,2025-09-29,Liquid Nitrogen 28,0.2,3.86
79,2025-09-29,Liquid Nitrogen 32,0.22,3.86
80,2025-10-13,Liquid Nitrogen 28,0.2,3.81
81,2025-10-13,Liquid Nitrogen 32,0.22,3.81
82,2025-10-13,Urea,0.28,3.81
83,2025-10-13,Anhydrous Ammonia,0.37,3.81
84,2025-10-27,Urea,0.28,3.94
85,2025-10-27,Anhydrous Ammonia,0.38,3.94
86,2025-10-27,Liquid Nitrogen 28,0.2,3.94
87,2025-10-27,Liquid Nitrogen 32,0.22,3.94
88,2025-11-10,Liquid Nitrogen 28,0.2,4.01
89,2025-11-10,Liquid Nitrogen 32,0.22,4.01
90,2025-11-10,Urea,0.28,4.01
91,2025-11-10,Anhydrous Ammonia,0.38,4.01
92,2025-11-24,Urea,0.28,4.03
93,2025-11-24,Anhydrous Ammonia,0.38,4.03
94,2025-11-24,Liquid Nitrogen 28,0.2,4.03
95,2025-11-24,Liquid Nitrogen 32,0.22,4.03
96,2025-12-08,Urea,0.28,4.17
97,2025-12-08,Anhydrous Ammonia,0.38,4.17
98,2025-12-08,Liquid Nitrogen 28,0.2,4.17
99,2025-12-08,Liquid Nitrogen 32,0.2,4.17
100,2025-12-22,Liquid Nitrogen 32,0.2,4.17
101,2025-12-22,Liquid Nitrogen 28,0.2,4.17
102,2025-12-22,Urea,0.27,4.17
103,2025-12-22,Anhydrous Ammonia,0.38,4.17
104,2026-01-05,Urea,0.26,4.14
105,2026-01-05,Anhydrous Ammonia,0.38,4.14
106,2026-01-05,Liquid Nitrogen 28,0.2,4.14
107,2026-01-05,Liquid Nitrogen 32,0.19,4.14
108,2026-01-19,Urea,0.26,4.03
109,2026-01-19,Anhydrous Ammonia,0.38,4.03
110,2026-01-19,Liquid Nitrogen 28,0.2,4.03
111,2026-01-19,Liquid Nitrogen 32,0.19,4.03
112,2026-02-02,Urea,0.26,4.07
113,2026-02-02,Anhydrous Ammonia,0.38,4.07
114,2026-02-02,Liquid Nitrogen 28,0.2,4.07
115,2026-02-02,Liquid Nitrogen 32,0.2,4.07
116,2026-02-16,Liquid Nitrogen 32,0.2,4.13
117,2026-02-16,Liquid Nitrogen 28,0.2,4.13
118,2026-02-16,Anhydrous Ammonia,0.38,4.13
119,2026-02-16,Urea,0.26,4.13
120,2026-03-02,Urea,0.27,4.21
121,2026-03-02,Anhydrous Ammonia,0.41,4.21
122,2026-03-02,Liquid Nitrogen 28,0.2,4.21
123,2026-03-02,Liquid Nitrogen 32,0.23,4.21
124,2026-03-16,Urea,0.37,4.39
125,2026-03-16,Anhydrous Ammonia,0.45,4.39
126,2026-03-16,Liquid Nitrogen 28,0.22,4.39
127,2026-03-16,Liquid Nitrogen 32,0.26,4.39
128,2026-03-30,Urea,0.39,4.35
129,2026-03-30,Anhydrous Ammonia,0.5,4.35
130,2026-03-30,Liquid Nitrogen 28,0.23,4.35
131,2026-03-30,Liquid Nitrogen 32,0.26,4.35
132,2026-04-13,Anhydrous Ammonia,0.51,4.17
133,2026-04-13,Liquid Nitrogen 28,0.24,4.17
134,2026-04-13,Urea,0.41,4.17
135,2026-04-13,Liquid Nitrogen 32,0.26,4.17
